Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
Botswana (National),Botswana,TB incidence,National,0,4,205,160351,0.00001,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
   ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,5,14,227,159935,0.00142,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,5,14,264,159935,0.00165,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,15,24,548,160051,0.00342,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,15,24,726,160051,0.00454,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,25,34,1417,160035,0.00885,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,25,34,1398,160035,0.00874,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,35,44,1372,160015,0.00857,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,35,44,849,160015,0.00531,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,45,54,853,160152,0.00533,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,45,54,417,160152,0.0026,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,55,64,434,160052,0.00271,Numerator estimated from percent and denominator,Registered/notified,,,,Male only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,55,64,187,160052,0.00117,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,65,100,358,159753,0.00224,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Botswana (National),Botswana,TB incidence,National,65,100,158,159753,0.00099,Denominator estimated from percent and numerator,Registered/notified,,,,Female only,Community,,,0.7,"
  ",2009,2009,"
CTU of Gaborone/Molepole site presentation"
Nigeria (National),Nigeria,TB incidence,National,0,100,209207,159700000,0.00131,,SS+,,,,Both,Community,,,0.42,"
  ",2010,2010,"
Nigerian Institute of Medical Research PQV"
Kenya (National),Kenya,TB incidence,National,0,100,196,101292,0.00193,,SS+,,,,Both,Community,,,,"
  ",2010,2010,"
KEMRI (Siaya) PQV"
Kenya (National),Kenya,TB incidence,National,0,100,195,101292,0.00192,,SS+,,,,Both,Community,,,,"
  ",2011,2011,"
KEMRI (Siaya) PQV"
Nigeria (National),Nigeria,TB incidence - drug resistant,National,0,100,3034300,159700000,0.019,,,,,,Both,TB patients (incident cases),,,,,2010,2010,"
Nigerian Institute of Medical Research PQV"
Mongolia (National),Mongolia,TB incidence - drug resistant,National,0,100,2250,3000000,0.00075,,,,,,Both,Community,,,,"
17% of MDR-TB are new cases",2013,2013,"
Claudia Dobler's AUSAID proposal"
United Republic of Tanzania (National),United Republic of Tanzania,TB prevalence,National,0,100,62000,4000000,0.0155,,,,,,Both,Community,,,,,2009,2009,"
DarDar visit"
Papua New Guinea (National),Papua New Guinea,TB prevalence,National,0,100,39095,7321000,0.00534,,,,,,Both,Community,,,,,2012,2012,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal"
Papua New Guinea (National),Papua New Guinea,TB prevalence,National,0,14,,,0.3,,,,,,Both,Community,,,,,2013,2013,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00197,,SS+,PTB,,,Both,Community,,,,"
  ",2006,2007,"
LTBI proposal"
Bangladesh (National),Bangladesh,TB prevalence,National,5,9,936,9357,0.1,,,,,,Both,Community,,,,,2007,2009,"
Hossain 2013 Tuberculin survey in Bangladesh, 2007-2009: prevalence of tuberculous infection and implications for TB control"
Bangladesh (National),Bangladesh,TB prevalence,National,10,14,1473,8228,0.179,,,,,,Both,Community,,,,,2007,2009,"
Hossain 2013 Tuberculin survey in Bangladesh, 2007-2009: prevalence of tuberculous infection and implications for TB control"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00163,,SS+,PTB,,,Both,Community,,,,"
North",2006,2007,"
LTBI proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00152,,SS+,PTB,,,Both,Community,,,,"
Center",2006,2007,"
LTBI proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00256,,SS+,PTB,,,Both,Community,,,,"
South",2006,2007,"
LTBI proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00307,,"Definite (e.g., culture positive)",PTB,,,Both,Community,,,,"
  ",2006,2007,"
LTBI proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00286,,"Definite (e.g., culture positive)",PTB,,,Both,Community,,,,"
North",2006,2007,"
LTBI proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00209,,"Definite (e.g., culture positive)",PTB,,,Both,Community,,,,"
Center",2006,2007,"
LTBI proposal"
Viet Nam (National),Viet Nam,TB prevalence,National,15,100,,,0.00367,,"Definite (e.g., culture positive)",PTB,,,Both,Community,,,,"
South",2006,2007,"
LTBI proposal"
Gambia (National),Gambia,TB prevalence - drug resistant,National,0,100,9,225,0.04,,,,,,Both,Community,,,,"
Patients had strains that were resistant to >=1 drug (isoniazid, rifampicin, ethambutol, and streptomycin).",1999,1999,"
Adegbola 2002 Surveillance of drug-resistant Mycobacterium tuberculosis in The Gambia"
Nigeria (National),Nigeria,TB prevalence - drug resistant,National,0,100,3832800,159700000,0.024,,,,,,Both,TB patients (undefined),,,,,2010,2010,"
Nigerian Institute of Medical Research PQV"
Nigeria (National),Nigeria,TB prevalence - drug resistant,National,0,100,15011800,159700000,0.094,,,,,,Both,TB patients (relapse cases),,,,"
  ",2010,2010,"
Nigerian Institute of Medical Research PQV"
Mali (National),Mali,TB recurrence,National,0,100,1490000,14900000,0.1,,,,,,Both,Community,,,,,2015,2015,"
SEREFO TB-HIV Program recurrence spreadsheet"
Viet Nam (National),Viet Nam,TB recurrence,National,15,100,513,7327,0.07,,,,,,Both,Community,,,,"
Self-reported (6.4-7.5%)",2015,2015,"
E-23 recurrence study (70 districts from 8 provinces: Hanoi Capital, Vinh Phuc, Da Nang, Bing Dinh, Ho Chi Minh City, Tien Giang, An Giang, Can Tho)"
Aurum (Klerksdorp),South Africa,HIV incidence,District,15,49,,,0.016,,,,,,Both,Community,,,,"
NW Province",2010,2010,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV incidence,Site,18,35,16,221,0.0724,,,,,,Both,High-risk population (undefined),,,,,2007,2011,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV incidence,Site,18,49,4,80,0.05,,,,,,Both,Community,,,,,2004,2009,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV incidence,Site,18,35,8,144,0.05556,,,,,,Male only,High-risk population (undefined),,,,,2007,2011,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV incidence,Site,18,35,8,77,0.1039,,,,,,Female only,High-risk population (undefined),,,,,2007,2011,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV incidence,Site,18,49,1,44,0.02273,,,,,,Male only,Community,,,,,2004,2009,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV incidence,Site,18,49,2,36,0.05556,,,,,,Female only,Community,,,,,2004,2009,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,0,100,512,1668,0.30695,,,,,,Male only,High-risk population (miners),,,,"
Gold miners",2000,2001,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,0,100,357,1111,0.32133,,,,,,Male only,High-risk population (miners),,,,"
Gold miners",2003,2004,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,0,100,374,1426,0.26227,,,,,,Both,High-risk population (miners),,,,,2003,2003,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,0,100,369,921,0.40065,,,,,,Female only,Community,,,,"
30-30 yo is peak age",2006,2008,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,District,15,49,135,462,0.29221,,,,,,Female only,ANC screening,,,,,2012,2012,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,District,20,65,,,0.29,,,,,,Both,Community,,,,"
NW province",2012,2012,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,District,15,49,,,0.3,,,,,,Both,Community,,,,,2012,2012,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,48,52,0,0,0,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,18,52,26,423,0.06147,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,18,22,4,155,0.02581,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"

TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,23,27,10,169,0.05917,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"

TB018
"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,28,32,7,76,0.09211,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"

TB018 
"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,33,37,4,17,0.23529,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,38,42,0,5,0,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,43,47,1,1,1,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,18,52,19,328,0.05793,,,,,,Male only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,18,52,7,96,0.07292,,,,,,Female only,Trial (clinical),,,,,2015 07 01,2015 07 01,"

TB018 
"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,20,65,,,0.31,,,,,,Male only,Community,,,,"
NW province",2012,2012,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,HIV prevalence,Site,20,65,,,0.27,,,,,,Female only,Community,,,,"
NW province",2012,2012,"
TB018 presentation"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,48,52,0,0,0,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,18,52,299,423,0.70686,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"

TB018
"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,18,22,99,155,0.63871,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,23,27,120,169,0.71006,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018
"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,28,32,61,76,0.80263,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,33,37,14,17,0.82353,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,38,42,4,5,0.8,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,43,47,1,1,1,,,,,,Both,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018
"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,18,52,228,328,0.69512,,,,,,Male only,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Aurum (Klerksdorp),South Africa,LTBI prevalence - IGRA,Site,18,52,72,96,0.75,,,,,,Female only,Trial (clinical),,,,"
25.37 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018
"
